Label,Text
Sad,"hello, guys, this, is, my, father, he, needs, medication, and, we, actually, cant, afford, it, please, help, out, family, even, if, it, is, a"
Sad,"hello, everyone, my, name, is, and, i, would, like, to, ask, for, your, help, towards, my, outstanding, fees, i, am, unable"
Sad,"i, feel, like, i, have, to, make, the, suffering, i, m, seeing, mean, something"
Sad,"i, tend, to, stop, breathing, when, i, m, feeling, stressed"
Sad,"i, have, a, collar, complete, with, at, the, back, that, i, wear, when, mi, feeling, submissive"
Sad,"is, not, running, in, the, half, marathon, this, weekend, because, i, failed, to, meet, the, deadline, amp, its, completely, filled"
Sad,"i, miss, you, when, are, you, nog, an, be, down, in, again, e, and, i, were, just, about, all, our"
Sad,"the, most, painful, sound, in, the, world, to, me, is, the, crying, of, someone, i, love, what, s, worse, is, i, ca, an't, even, hold, them, and, say, i, m, sorry"
Sad,"nog, an, do, did, laundry, a, hotel, miss, you, though, you, ignore, me, and, don, even, check, on, me"
Sad,"same, here, e, my, friend, just, cancelled, our, movie, date"
Sad,"just, woke, want, to, go, into, work, at, 4"
Sad,"done, with, but, i, m, really, missing, my, favourite, sisters, especially, because, they, ca, an't, go, to, banquet, tonight"
Sad,"i, m, so, depressed, right, now"
Sad,"holy, wow, i, think, i, could, I've, slept, all, day, soot, tired"
Sad,"well, that, is, just, completely, lame, i, m, sorry, dude"
Sad,"i, felt, empowered, telling, him, how, it, had, affected, me, how, i, had, come, close, to, suicide, because, of, the, severe, distress, it, had, caused, me, to, continue, to, feel, long, after, the, unpleasant, encounter, where, what, i, felt, was, disregarded, completely"
Sad,"yeah, i, know, what, you"
Sad,"last, day"
Sad,"pics, rent, working, for, me, here, on, twitter"
Sad,"is, sad, coz, theta, s, font, have, beer"
Sad,"i, m, so, down, again, i, wish, i, could, share, my, problems, with"
Sad,"what, do, u, see, in, her, that, i, font, have"
Sad,"where, is, the"
Sad,"just, found, out, is, going, to, be, here, at, rock, the, and, i, ca, an't, go"
Sad,"bf, i, hate, when, i, try, amp, support, my, local, bookstore, amp, they, never, have, what, i, need"
Sad,"have, yet, to, start, this, paper, due, tonight, i, have, no, motivation"
Sad,"i, to, feeling, remorseful, after, her, width, height"
Sad,"it, figures, it, starts, raining, as, i, am, from, work"
Sad,"sorry, all, the, i, have, are, posted, on, our, site"
Sad,"well, you, my, man, you, and, your, truck, are, too, many, miles"
Sad,"just, found, out, that, mad, men, season, 3, is, delayed, until, august"
Sad,"glad, to, hear, it, though, i, am, missing, watching, it, outside, the, by, a, day"
Sad,"why, i, still, lose, followers, the, people, hates, me, the, world, hates, me, or, maybe, read, more"
Sad,"i, hate, not, bringing, my, iPod, to, school"
Sad,"i, do, want, to, go, for, but, also, miss, pendulum, and, the, bloody, its, not, fair"
Sad,"far, too, sick, to, sing, i, I've, got, a, post, drip, and, a, sore, throat, just, sent, my, sorry, i, wo, an't, be, there, email"
Sad,"just, helped, save, a, dog, he, did, an't, want, to, be, my, friend, though"
Sad,"i, did, not, know, was, that, she, was, of, the, damned, and, that, she, had, had, to, the, very, words, she, against, me, with, their, edge, in, i, can, not, help, but, feel, resigned, to, the, fate, that, inevitably, followed, for, i, was, helpless, to, her"
Sad,"bad, mood, now"
Sad,"headache, headache, go, away"
Sad,"ca, an't, test, demo, license, expired, yesterday"
Sad,"ugh, still, sick, this, cold, has, lasted, forever"
Sad,"still, sick, cancelled, our, filly, trip, sad, day"
Sad,"sorry, just, think, 25, hrs, till, 2, days, off"
Sad,"still, feeling, like, 3, more, hours"
Sad,"i, m, still, thinking, about, that, meal, i, missed, yesterday"
Sad,"pouring, cleaning, out, my, my, is, heavy, and, my, back, and, arms, are, killing, me"
Sad,"bored, everyone, has, a, social, life, except, me, and, i, m, babysitting, my, brothers, tonight, til, 10, and, i, dunno, if, ill, be, allowed, out, after, that"
Sad,"i, feel, depressed, moody, and, just, lethargic, and, tired"
Sad,"she, s, gone, i, miss, my, quay, way, already"
Sad,"feeling, lonely, now, after, the, last, 50, hours, with, my, friends"
Sad,"i, think, i, m, gay"
Sad,"i, came, home, thinking, that, maybe, there, was, something, good, to, eat, apparently, not"
Sad,"looking, for, a, special, girl, mi, fed, up, of, ban, hurt"
Sad,"how, sad, are, you, saying, that, i, m, fat"
Sad,"the, in, hills, doctor, s, scare, crap, out, of, me"
Sad,"ugh, i, m, more, worried, about, history, on, Wednesday, i, m, freaking, out, about, it, so, much"
